"date","users","newUsers","sessions","bounces","sessionDuration","entrances","gender","pageviews","avgTimeOnPage"
20140521,12,11,13,10,425,13,0,18,85.2
20140521,13,10,14,10,703,14,1,26,58.5
20140526,12,10,15,10,2596,15,1,36,123.619047619048
20140527,14,11,21,8,5605,21,1,82,91.9016393442623
20140528,16,14,18,10,3529,18,1,52,103.823529411765
20140530,12,10,12,7,2364,12,1,46,69.5294117647059
20140602,15,12,15,12,36,15,1,18,12
20140606,10,8,11,7,963,11,1,31,48.1
20140611,18,15,21,12,3005,21,1,39,166.888888888889
20140617,16,15,16,13,1787,16,1,22,297.833333333333
20140618,11,10,12,6,608,12,1,20,76
20140619,14,14,14,8,1558,14,1,22,194.75
20140620,10,9,13,9,1199,13,1,21,150
20140623,10,8,10,7,1392,10,0,15,278
20140623,21,18,23,16,5247,23,1,110,60.2988505747126
20140624,12,11,12,7,492,12,1,22,49.2
20140625,15,13,17,13,4810,17,1,40,209
20140626,15,14,18,11,3226,18,1,41,140.260869565217
20140627,12,11,13,7,1509,13,1,24,137.181818181818
20140629,10,10,10,7,1065,10,1,25,71
20140630,20,18,20,17,580,20,0,24,144.75
20140630,13,10,15,12,1923,15,1,20,384.4
20140701,10,9,11,9,104,11,0,13,52
20140701,17,10,19,13,2232,19,1,30,202.909090909091
20140702,15,15,15,14,663,15,0,18,221
20140703,22,18,24,15,4039,24,1,45,192.333333333333
20140707,16,14,16,12,598,16,1,37,28.4761904761905
20140708,16,13,17,10,4207,17,0,35,233.666666666667
20140708,14,12,16,9,924,16,1,36,45.95
20140709,10,9,11,9,400,11,0,13,200
20140709,13,9,15,11,654,15,1,33,36.2777777777778
20140710,11,9,11,10,2500,11,0,25,178.642857142857
20140710,11,7,11,6,139,11,1,18,20
20140711,13,12,14,7,3406,14,1,30,212.875
20140715,11,8,11,7,745,11,1,21,74.4
20140717,11,10,14,11,150,14,0,18,37.5
20140717,13,13,13,11,691,13,1,33,34.4
20140718,12,10,14,11,4954,14,1,77,78.5714285714286
20140721,11,10,11,8,1296,11,0,31,64.8
20140721,11,10,12,8,922,12,1,29,54.3529411764706
20140722,14,14,15,11,762,15,0,25,76.3
20140722,13,12,17,9,3586,17,1,83,54.3939393939394
20140723,11,10,14,10,961,14,0,26,80
20140723,20,18,20,15,443,20,1,34,31.5714285714286
20140725,14,11,17,13,1581,17,1,26,175.777777777778
20140728,10,8,10,7,483,10,1,15,96.6
20140729,15,13,15,8,1775,15,1,27,147.833333333333
20140731,11,11,11,9,1231,11,1,21,123.2
20140801,11,10,11,8,635,11,1,15,158.75
20140804,10,9,10,6,2122,10,1,21,192.727272727273
20140805,16,11,16,9,1881,16,1,32,117.5
20140808,18,17,22,14,2279,22,1,40,126.555555555556
20140812,13,8,15,7,1883,15,1,31,117.6875
20140813,10,9,12,6,758,12,1,24,63.3333333333333
20140814,16,12,18,14,7048,18,1,125,65.8785046728972
20140818,11,7,13,9,9809,13,1,115,96.1176470588235
20140819,18,14,21,16,293,21,1,34,22.6153846153846
20140820,13,12,14,11,3909,14,0,26,325.666666666667
20140820,16,13,19,11,18964,19,1,207,100.898936170213
20140821,13,11,15,11,7532,15,1,106,82.7362637362637
20140822,14,12,17,10,6746,17,1,80,107.063492063492
20140825,12,10,15,10,2854,15,0,34,150.105263157895
20140825,17,14,19,11,7805,19,1,76,136.912280701754
20140826,13,13,13,11,1932,13,0,22,214.555555555556
20140826,17,15,18,13,875,18,1,27,97.3333333333333
20140827,10,9,11,5,3246,11,1,49,85.3421052631579
20140828,15,12,18,10,6443,18,0,48,214.666666666667
20140829,11,7,13,9,7560,13,1,94,93.3827160493827
20140901,10,10,10,8,256,10,1,30,12.75
20140902,14,12,15,10,860,15,0,21,143.333333333333
20140902,11,11,12,8,2369,12,1,33,112.809523809524
20140903,17,12,17,12,1781,17,1,23,296.833333333333
20140908,16,10,17,14,2841,17,0,29,236.75
20140908,18,17,20,13,1891,20,1,44,78.875
20140909,19,12,19,11,1381,19,0,42,60.0869565217391
20140909,14,11,14,6,2167,14,1,46,67.65625
20140910,17,13,22,13,9147,22,1,73,179.294117647059
20140911,12,9,13,9,200,13,0,25,16.5833333333333
20140911,13,12,16,11,7630,16,1,88,105.986111111111
20140912,20,18,21,17,6482,21,1,63,154.285714285714
20140913,11,10,11,7,367,11,1,23,30.75
20140914,10,7,11,8,1966,11,1,21,196.4
20140915,16,12,16,11,1111,16,1,34,61.7777777777778
20140916,13,10,15,9,2319,15,0,30,154.6
20140916,18,14,24,15,6238,24,1,75,122.352941176471
20140917,10,9,10,6,519,10,0,21,47.0909090909091
20140918,26,23,27,15,2755,27,1,68,67.219512195122
20140919,18,14,18,14,3274,18,1,27,363.777777777778
20140921,11,9,11,8,465,11,1,19,58
20140922,26,22,33,19,4523,33,1,83,90.48
20140923,21,16,22,13,3580,22,0,52,119.333333333333
20140923,24,17,27,19,4073,27,1,61,119.852941176471
20140924,15,10,16,11,777,16,0,34,43.0555555555556
20140924,18,13,20,15,3395,20,1,41,161.666666666667
20140925,11,9,11,5,1699,11,0,19,212.375
20140925,16,13,18,12,2504,18,1,37,131.789473684211
20140926,13,10,15,11,916,15,0,20,183.2
20140927,10,8,10,4,573,10,1,20,57.4
20140928,11,7,11,4,1614,11,1,20,179.333333333333
20140929,11,9,12,8,110,12,1,17,22.2
20140930,11,10,11,9,150,11,0,15,37.5
20140930,16,15,17,12,619,17,1,29,51.5833333333333
