"artist","track","time","week","rank","date"
"2 Pac","Baby Don't Cry (Keep...",04:22:00,"1","87",2000-02-26
"2Ge+her","The Hardest Part Of ...",03:15:00,"1","91",2000-09-02
"3 Doors Down","Kryptonite",03:53:00,"1","81",2000-04-08
"3 Doors Down","Loser",04:24:00,"1","76",2000-10-21
"504 Boyz","Wobble Wobble",03:35:00,"1","57",2000-04-15
"98^0","Give Me Just One Nig...",03:24:00,"1","51",2000-08-19
"A*Teens","Dancing Queen",03:44:00,"1","97",2000-07-08
"Aaliyah","I Don't Wanna",04:15:00,"1","84",2000-01-29
"Aaliyah","Try Again",04:03:00,"1","59",2000-03-18
"Adams, Yolanda","Open My Heart",05:30:00,"1","76",2000-08-26
"Adkins, Trace","More",03:05:00,"1","84",2000-04-29
"Aguilera, Christina","Come On Over Baby (A...",03:38:00,"1","57",2000-08-05
"Aguilera, Christina","I Turn To You",04:00:00,"1","50",2000-04-15
"Aguilera, Christina","What A Girl Wants",03:18:00,"1","71",1999-11-27
"Alice Deejay","Better Off Alone",06:50:00,"1","79",2000-04-08
"Allan, Gary","Smoke Rings In The D...",04:18:00,"1","80",2000-01-22
"Amber","Sexual",04:38:00,"1","99",1999-07-17
"Anastacia","I'm Outta Love",04:01:00,"1","92",2000-04-01
"Anthony, Marc","My Baby You",03:59:00,"1","82",2000-09-16
"Anthony, Marc","You Sang To Me",03:50:00,"1","77",2000-02-26
"Avant","My First Love",04:28:00,"1","70",2000-11-04
"Avant","Separated",04:13:00,"1","62",2000-04-29
"BBMak","Back Here",03:35:00,"1","99",2000-04-29
"Backstreet Boys, The","Shape Of My Heart",03:49:00,"1","39",2000-10-14
"Backstreet Boys, The","Show Me The Meaning ...",03:54:00,"1","74",2000-01-01
"Backstreet Boys, The","The One",03:46:00,"1","58",2000-05-27
"Badu, Erkyah","Bag Lady",05:03:00,"1","67",2000-08-19
"Baha Men","Who Let The Dogs Out",03:17:00,"1","99",2000-07-22
"Barenaked Ladies","Pinch Me",03:46:00,"1","77",2000-09-09
"Beenie Man","Girls Dem Sugar",04:17:00,"1","72",2000-10-21
"Before Dark","Monica",04:04:00,"1","95",2000-05-20
"Bega, Lou","Tricky Tricky",03:23:00,"1","75",2000-01-29
"Big Punisher","It's So Hard",03:25:00,"1","96",2000-04-22
"Black Rob","Whoa!",04:04:00,"1","78",2000-03-04
"Black, Clint","Been There",05:28:00,"1","87",2000-02-19
"Blaque","Bring It All To Me",03:46:00,"1","73",1999-10-23
"Blige, Mary J.","Deep Inside",05:26:00,"1","83",1999-11-13
"Blige, Mary J.","Give Me You",05:00:00,"1","97",2000-04-15
"Blink-182","All The Small Things",02:52:00,"1","89",1999-12-04
"Bloodhound Gang","The Bad Touch",04:20:00,"1","70",2000-03-18
"Bon Jovi","It's My Life",03:44:00,"1","64",2000-08-12
"Braxton, Toni","He Wasn't Man Enough",04:21:00,"1","63",2000-03-18
"Braxton, Toni","Just Be A Man About ...",04:10:00,"1","76",2000-07-29
"Braxton, Toni","Spanish Guitar",04:24:00,"1","98",2000-12-02
"Brock, Chad","A Country Boy Can Su...",03:54:00,"1","93",2000-01-01
"Brock, Chad","Yes!",03:22:00,"1","90",2000-04-08
"Brooks & Dunn","You'll Always Be Lov...",02:58:00,"1","95",2000-06-10
"Brooks, Garth","Do What You Gotta Do",02:56:00,"1","86",2000-02-19
"Byrd, Tracy","Put Your Hand In Min...",04:30:00,"1","81",2000-01-29
"Cagle, Chris","My Love Goes On And ...",03:02:00,"1","99",2000-10-21
"Cam'ron","What Means The World...",04:38:00,"1","94",2000-10-14
"Carey, Mariah","Crybaby",05:19:00,"1","28",2000-06-24
"Carey, Mariah","Thank God I Found Yo...",04:14:00,"1","82",1999-12-11
"Carter, Aaron","Aaron's Party (Come ...",03:23:00,"1","99",2000-08-26
"Carter, Torrey","Take That",03:43:00,"1","94",2000-06-24
"Changing Faces","That Other Woman",04:00:00,"1","80",2000-09-30
"Chesney, Kenny","I Lost It",03:54:00,"1","75",2000-10-21
"Chesney, Kenny","What I Need To Do",04:05:00,"1","79",2000-04-01
"Clark Family Experience","Meanwhile Back At Th...",02:56:00,"1","87",2000-11-18
"Clark, Terri","A Little Gasoline",03:07:00,"1","75",2000-12-16
"Common","The Light",03:55:00,"1","75",2000-08-05
"Counting Crows","Hanginaround",04:07:00,"1","84",1999-11-06
"Creed","Higher",05:16:00,"1","81",1999-09-11
"Creed","With Arms Wide Open",03:52:00,"1","84",2000-05-13
"Cyrus, Billy Ray","You Won't Be Lonely ...",03:45:00,"1","97",2000-09-23
"D'Angelo","Left & Right",04:35:00,"1","93",1999-12-11
"D'Angelo","Untitled (How Does I...",07:10:00,"1","77",2000-01-22
"DMX","Party Up (Up In Here...",03:45:00,"1","88",2000-02-26
"DMX","What You Want",04:05:00,"1","98",2000-07-01
"DMX","What's My Name",03:50:00,"1","98",2000-01-15
"Da Brat","That's What I'm Look...",03:44:00,"1","93",2000-02-26
"Da Brat","What'Chu Like",03:57:00,"1","71",2000-06-03
"Davidson, Clay","Unconditional",03:56:00,"1","97",2000-03-25
"De La Soul","All Good?",05:02:00,"1","96",2000-12-23
"Destiny's Child","Independent Women Pa...",03:38:00,"1","78",2000-09-23
"Destiny's Child","Jumpin' Jumpin'",03:48:00,"1","74",2000-05-13
"Destiny's Child","Say My Name",04:31:00,"1","83",1999-12-25
"Diffie, Joe","It's Always Somethin...",02:55:00,"1","81",2000-08-12
"Diffie, Joe","The Quittin' Kind",03:23:00,"1","98",2000-01-01
"Dion, Celine","That's The Way It Is",04:03:00,"1","74",1999-11-13
"Dixie Chicks, The","Cold Day In July",05:12:00,"1","80",2000-06-24
"Dixie Chicks, The","Cowboy Take Me Away",04:51:00,"1","79",1999-11-27
"Dixie Chicks, The","Goodbye Earl",04:19:00,"1","40",2000-03-18
"Dixie Chicks, The","Without You",03:32:00,"1","80",2000-10-07
"Dr. Dre","Forgot About Dre",03:42:00,"1","75",2000-01-22
"Dr. Dre","The Next Episode",02:38:00,"1","78",2000-05-27
"Drama","Left, Right, Left",03:37:00,"1","100",2000-02-12
"Dream","He Loves U Not",03:43:00,"1","99",2000-09-30
"Eastsidaz, The","G'D Up",04:27:00,"1","77",2000-01-08
"Eastsidaz, The","Got Beef",03:58:00,"1","99",2000-07-01
"Eiffel 65","Blue",03:29:00,"1","67",1999-12-11
"Elliott, Missy ""Misdemeanor""","Hot Boyz",03:51:00,"1","36",1999-11-27
"Eminem","Stan",05:26:00,"1","78",2000-11-04
"Eminem","The Real Slim Shady",04:42:00,"1","70",2000-05-06
"Eminem","The Way I Am",04:40:00,"1","87",2000-08-26
"En Vogue","Riddle",05:10:00,"1","92",2000-06-17
"Estefan, Gloria","No Me Dejes De Quere...",03:25:00,"1","77",2000-06-10
"Evans, Sara","Born To Fly",05:36:00,"1","77",2000-10-21
"Eve","Got It All",03:48:00,"1","89",2000-07-15
"Eve","Love Is Blind",03:51:00,"1","94",2000-01-08
"Everclear","Wonderful",04:30:00,"1","77",2000-07-08
"Fabian, Lara","I Will Love Again",03:43:00,"1","91",2000-06-10
"Fatboy Slim","The Rockafeller Skan...",04:00:00,"1","94",1999-11-13
"Filter","Take A Picture",04:23:00,"1","91",1999-11-27
"Foo Fighters","Learn To Fly",03:55:00,"1","80",1999-10-16
"Fragma","Toca's Miracle",03:22:00,"1","99",2000-10-28
"Funkmaster Flex","Do You",04:14:00,"1","92",2000-11-11
"Ghostface Killah","Cherchez LaGhost",03:04:00,"1","98",2000-08-05
"Gill, Vince","Feels Like Love",04:13:00,"1","82",2000-09-02
"Gilman, Billy","One Voice",04:07:00,"1","86",2000-06-17
"Ginuwine","None Of Ur Friends B...",04:12:00,"1","94",1999-12-11
"Ginuwine","The Best Man I Can B...",04:06:00,"1","97",2000-01-08
"Goo Goo Dolls","Broadway",03:54:00,"1","74",2000-04-22
"Gray, Macy","I Try",03:52:00,"1","68",2000-02-19
"Griggs, Andy","She's More",03:19:00,"1","81",2000-03-11
"Guy","Dancin'",04:08:00,"1","46",1999-12-18
"Hanson","This Time Around",04:14:00,"1","22",2000-04-22
"Hart, Beth","L.A. Song",03:47:00,"1","99",1999-11-27
"Heatherly, Eric","Flowers On The Wall",03:16:00,"1","95",2000-04-29
"Henley, Don","Taking You Home",04:08:00,"1","79",2000-06-24
"Herndon, Ty","No Mercy",04:43:00,"1","100",2000-03-18
"Hill, Faith","Breathe",04:04:00,"1","81",1999-11-06
"Hill, Faith","Let's Make Love",04:11:00,"1","83",2000-08-12
"Hoku","Another Dumb Blonde",03:47:00,"1","69",2000-02-19
"Hollister, Dave","Can't Stay",06:17:00,"1","84",2000-03-25
