ckId;jId;clicks;orderValue
1;1;1;20.8
1;2;2;23.91
2;1;7;73.84
2;2;7;158.49
3;1;1;54
3;2;4;41.39
4;1;1;25.17
4;2;3;33.57
5;1;82;43.3
5;2;49;27.6
6;1;15;45.77
6;2;78;41.77
7;1;3;36.73
7;2;3;17.61
8;1;14;13.91
8;2;76;25.17
9;1;164;25.59
9;2;16;-2.23
10;1;2;50.34
10;2;1;25.17
11;1;1;21.76
11;2;1;30.17
12;1;14;64.78
12;2;3;35.35
13;1;40;36
13;2;55;19.21
14;1;8;38.2
14;2;1;30
15;1;38;29.96
15;2;11;25.17
16;1;23;23.11
16;2;3;23.11
17;1;15;74.95
17;2;41;72.12
18;1;2;72.57
18;2;2;61
19;1;31;25
19;2;1;15.88
20;1;21;141.12
20;2;16;16.76
21;1;21;25
21;2;45;33.49
22;1;16;78.74
22;2;8;64.49
23;1;37;26
23;2;3;49.76
24;1;29;21.51
24;2;18;42.72
25;1;4;41.8
25;2;1;25
26;1;8;67.22
26;2;7;66.4
27;1;1;25.59
27;2;1;47.74
28;1;3;27.73
28;2;7;21.6
29;1;13;25.17
29;2;11;59.52
30;1;21;45.34
30;2;29;79.7
31;1;7;45.6
31;2;6;44.12
32;1;11;34.02
32;2;17;61.01
33;1;2;28.99
33;2;2;20.8
34;1;19;61.22
34;2;8;59.6
35;1;15;21.51
35;2;149;51.55
36;1;16;20.8
36;2;18;20.8
37;1;1;77.31
37;2;5;52.65
38;1;10;95.91
38;2;2;41.18
39;1;55;30.17
39;2;10;47.23
40;1;19;13.44
40;2;3;16.76
41;1;33;5.8
41;2;52;26.25
42;1;16;15.17
42;2;23;17.26
43;1;3;15.8
43;2;5;15.8
44;1;31;22.73
44;2;33;33.49
45;1;2;54.07
45;2;30;29.53
46;1;35;79
46;2;26;66.6
47;1;16;81.62
47;2;24;14.08
48;1;2;41.6
48;2;2;20.8
49;1;2;71.27
49;2;3;60.51
50;1;3;16.6
50;2;3;20.8
51;1;22;22.27
51;2;23;54.8
52;1;1;20.8
52;2;4;25.66
53;1;4;94.41
53;2;7;120.68
54;1;1;30
54;2;1;41.97
55;1;18;64.41
55;2;13;33.36
56;1;10;68.66
56;2;10;86.65
57;1;63;47.84
57;2;10;47.87
58;1;3;27.52
58;2;6;59.17
59;1;3;27.52
59;2;2;27.9
60;1;4;41.62
60;2;6;41.8
61;1;1;52.35
61;2;11;20.99
62;1;1;25.17
62;2;3;81.05
63;1;1;28.99
63;2;1;28.99
64;1;39;36.36
64;2;108;28.56
65;1;36;23.86
65;2;15;16.39
66;1;19;39.22
66;2;39;29.37
67;1;6;70.42
67;2;11;47.27
68;1;80;59.22
68;2;208;55.1
69;1;4;42.38
69;2;3;25.66
70;1;15;53.53
70;2;7;11.76
71;1;21;35.57
71;2;29;80.82
72;1;2;83.2
72;2;1;83.2
73;1;7;23.28
73;2;1;25.66
74;1;10;87.37
74;2;17;85.89
75;1;1;20
75;2;7;25.66
76;1;3;43.53
76;2;1;25.8
77;1;3;41.77
77;2;3;31.3
78;1;4;37.4
78;2;2;41.6
79;1;15;16.6
79;2;64;16.6
80;1;23;69
80;2;46;25.17
81;1;22;38.12
81;2;5;61.61
82;1;6;50.08
82;2;8;58.44
83;1;7;39.71
83;2;3;25.66
84;1;1;47.9
84;2;3;20.8
85;1;3;20.8
85;2;2;46.6
86;1;8;22.27
86;2;9;39.16
87;1;20;26.89
87;2;13;37.19
88;1;4;20.8
88;2;1;20.8
89;1;2;20.8
89;2;4;42.8
90;1;2;33.53
90;2;12;38.2
91;1;15;27.75
91;2;11;53.25
92;1;1;39.71
92;2;1;49.96
93;1;68;25.17
93;2;47;16.76
94;1;3;25
94;2;12;15.5
95;1;47;30.67
95;2;100;-15.83
96;1;2;64.45
96;2;27;70.88
97;1;81;64.04
97;2;6;19.75
98;1;51;50.8
98;2;3;25.18
99;1;1;97.65
99;2;4;28.99
100;1;26;63.41
100;2;61;47
101;1;12;20.17
101;2;100;32.64
102;1;1;44.33
102;2;19;23.51
103;1;19;37.4
103;2;4;30.18
104;1;33;22.27
104;2;15;30.01
105;1;11;17.52
105;2;10;16.6
106;1;3;22.56
106;2;3;25.66
107;1;27;41.46
107;2;3;36.09
108;1;1;41.6
108;2;14;55.12
109;1;79;41.93
109;2;13;33.36
110;1;10;23.11
110;2;8;25.17
111;1;1;47.73
111;2;1;25.66
112;1;21;75.17
112;2;30;70.97
113;1;1;20.8
113;2;1;25.66
114;1;4;27.4
114;2;2;22.02
115;1;2;30.25
115;2;3;16.75
116;1;14;33.22
116;2;4;30.76
117;1;57;20.17
117;2;74;20.59
118;1;6;15.5
118;2;2;26
119;1;9;73.12
119;2;8;75.54
120;1;111;20.8
120;2;25;25
121;1;24;59.25
121;2;23;29.02
122;1;1;27.73
122;2;1;25.66
123;1;2;31.3
123;2;4;38.53
124;1;25;41.6
124;2;3;29.16
125;1;19;102.57
125;2;36;48.16
126;1;1;25.66
126;2;8;25.66
127;1;35;50.34
127;2;2;33.51
128;1;37;36.43
128;2;97;29.5
129;1;1;15.8
129;2;4;21.72
130;1;3;15.8
130;2;10;33.36
131;1;1;27.52
131;2;3;28.99
132;1;3;33.36
132;2;3;33.36
133;1;57;46
133;2;17;29.28
134;1;1;27.52
134;2;1;21.6
135;1;19;38.99
135;2;46;80.55
136;1;42;66.19
136;2;49;66.96
137;1;6;47.56
137;2;4;52.81
138;1;30;41.6
138;2;14;41.77
139;1;4;25.66
139;2;1;25.66
140;1;18;20.8
140;2;3;25
141;1;2;41.6
141;2;3;25.66
142;1;17;25
142;2;30;37.56
143;1;28;27.59
143;2;75;58.62
144;1;5;52.78
