"ckId";"jId";"clicks";"landClicks";"orderValue"
"3178364303099043141";"1";"1";"com";"20.80"
"3178364303099043141";"2";"2";"others";"23.91"
"3179551623152155173";"1";"7";"com";"73.84"
"3179551623152155173";"2";"7";"com";"158.49"
"3179551912894674861";"1";"1";"com";"54.00"
"3179551912894674861";"2";"4";"com";"41.39"
"3179551951566158045";"1";"1";"com";"25.17"
"3179551951566158045";"2";"3";"com";"33.57"
"3179552051038261669";"1";"82";"com/others";"43.30"
"3179552051038261669";"2";"49";"com";"27.60"
"3179552547576758197";"1";"15";"com";"45.77"
"3179552547576758197";"2";"78";"com";"41.77"
"3179555468322281085";"1";"3";"com";"36.73"
"3179555468322281085";"2";"3";"com";"17.61"
"3179555629014463453";"1";"14";"com";"13.91"
"3179555629014463453";"2";"76";"com";"25.17"
"3179555663558738157";"1";"164";"com/others";"25.59"
"3179555663558738157";"2";"16";"com/others";"-2.23"
"3179555835072218245";"1";"2";"com";"50.34"
"3179555835072218245";"2";"1";"com";"25.17"
"3179556289701230813";"1";"1";"com";"21.76"
"3179556289701230813";"2";"1";"others";"30.17"
"3179557747993612453";"1";"14";"com/de";"64.78"
"3179557747993612453";"2";"3";"com";"35.35"
"3179558200106039845";"1";"40";"com";"36.00"
"3179558200106039845";"2";"55";"com";"19.21"
"3179558704177494565";"1";"8";"com";"38.20"
"3179558704177494565";"2";"1";"com";"30.00"
"3179560630688430629";"1";"38";"com/others";"29.96"
"3179560630688430629";"2";"11";"com";"25.17"
"3179562126863761645";"1";"23";"com";"23.11"
"3179562126863761645";"2";"3";"com";"23.11"
"3179565203956184029";"1";"15";"com/de";"74.95"
"3179565203956184029";"2";"41";"com/others";"72.12"
"3179565715527041261";"1";"2";"com/de";"72.57"
"3179565715527041261";"2";"2";"com";"61.00"
"3179568147149624957";"1";"31";"com";"25.00"
"3179568147149624957";"2";"1";"com";"15.88"
"3179569544960147693";"1";"21";"com/others";"141.12"
"3179569544960147693";"2";"16";"com/others";"16.76"
"3179571789348995309";"1";"21";"com";"25.00"
"3179571789348995309";"2";"45";"com";"33.49"
"3179572375712708829";"1";"16";"com/de";"78.74"
"3179572375712708829";"2";"8";"com";"64.49"
"3179573577917667421";"1";"37";"com/de/others";"26.00"
"3179573577917667421";"2";"3";"com/others";"49.76"
"3179574513834670301";"1";"29";"com";"21.51"
"3179574513834670301";"2";"18";"com/others";"42.72"
"3179574878990776237";"1";"4";"com";"41.80"
"3179574878990776237";"2";"1";"com";"25.00"
"3179575723388047781";"1";"8";"com";"67.22"
"3179575723388047781";"2";"7";"com";"66.40"
"3179576463162619821";"1";"1";"com";"25.59"
"3179576463162619821";"2";"1";"com";"47.74"
"3179577463755782693";"1";"3";"com";"27.73"
"3179577463755782693";"2";"7";"com";"21.60"
"3179577857986803933";"1";"13";"com";"25.17"
"3179577857986803933";"2";"11";"com";"59.52"
"3179579892408779909";"1";"21";"com/de/others";"45.34"
"3179579892408779909";"2";"29";"com/others";"79.70"
"3179580195740858917";"1";"7";"com";"45.60"
"3179580195740858917";"2";"6";"com/others";"44.12"
"3179582268280668397";"1";"11";"com";"34.02"
"3179582268280668397";"2";"17";"com";"61.01"
"3179583031442684453";"1";"2";"com";"28.99"
"3179583031442684453";"2";"2";"com";"20.80"
