"iso2","year","demo","n"
"AD",2005,"m04",0
"AD",2006,"m04",0
"AD",2008,"m04",0
"AE",2006,"m04",0
"AE",2007,"m04",0
"AE",2008,"m04",0
"AG",2007,"m04",0
"AL",2005,"m04",0
"AL",2006,"m04",1
"AL",2007,"m04",0
"AL",2008,"m04",1
"AM",2005,"m04",1
"AM",2006,"m04",0
"AM",2007,"m04",0
"AM",2008,"m04",0
"AN",2006,"m04",0
"AR",2006,"m04",19
"AR",2007,"m04",14
"AR",2008,"m04",11
"AT",2005,"m04",1
"AT",2006,"m04",0
"AU",2006,"m04",1
"AU",2007,"m04",0
"AZ",2005,"m04",2
"AZ",2006,"m04",1
"BA",2005,"m04",0
"BA",2006,"m04",0
"BA",2007,"m04",0
"BA",2008,"m04",0
"BB",2007,"m04",0
"BB",2008,"m04",0
"BE",2005,"m04",1
"BE",2006,"m04",3
"BE",2007,"m04",1
"BE",2008,"m04",2
"BF",2007,"m04",2
"BG",2005,"m04",0
"BG",2007,"m04",2
"BG",2008,"m04",1
"BH",2008,"m04",0
"BI",2007,"m04",0
"BN",2007,"m04",0
"BN",2008,"m04",0
"BR",2006,"m04",136
"BR",2007,"m04",175
"BR",2008,"m04",115
"BS",2007,"m04",0
"BS",2008,"m04",0
"BW",2008,"m04",4
"BZ",2006,"m04",0
"BZ",2007,"m04",1
"BZ",2008,"m04",0
"CA",2006,"m04",1
"CA",2007,"m04",4
"CA",2008,"m04",0
"CH",2005,"m04",0
"CH",2006,"m04",0
"CH",2007,"m04",0
"CH",2008,"m04",0
"CK",2006,"m04",0
"CL",2006,"m04",5
"CL",2007,"m04",0
"CL",2008,"m04",1
"CM",2008,"m04",0
"CR",2006,"m04",0
"CR",2007,"m04",0
"CU",2008,"m04",0
"CV",2008,"m04",0
"CY",2005,"m04",0
"CY",2006,"m04",0
"CY",2007,"m04",0
"CY",2008,"m04",0
"CZ",2005,"m04",0
"CZ",2006,"m04",0
"CZ",2007,"m04",0
"CZ",2008,"m04",0
"DE",2005,"m04",2
"DE",2006,"m04",0
"DE",2007,"m04",0
"DE",2008,"m04",0
"DJ",2007,"m04",4
"DK",2005,"m04",0
"DK",2006,"m04",0
"DK",2007,"m04",0
"DK",2008,"m04",0
"DM",2006,"m04",0
"DM",2007,"m04",0
"DM",2008,"m04",0
"DO",2008,"m04",2
"EE",2005,"m04",0
"EE",2006,"m04",0
"EE",2007,"m04",0
"EE",2008,"m04",0
"EG",2006,"m04",19
"EG",2008,"m04",0
"ER",2007,"m04",4
"ES",2005,"m04",6
"ES",2006,"m04",12
"ES",2007,"m04",4
"ES",2008,"m04",9
"FI",2005,"m04",0
"FI",2006,"m04",0
"FI",2007,"m04",0
"FI",2008,"m04",0
"FJ",2006,"m04",0
"FM",2006,"m04",7
"FM",2008,"m04",1
"FR",2005,"m04",7
"FR",2006,"m04",8
"FR",2007,"m04",8
"FR",2008,"m04",5
"GA",2008,"m04",1
"GB",2005,"m04",4
"GB",2006,"m04",3
"GB",2007,"m04",2
"GB",2008,"m04",1
"GD",2006,"m04",0
"GE",2005,"m04",0
"GE",2006,"m04",0
"GE",2007,"m04",6
"GE",2008,"m04",39
"GM",2006,"m04",13
"GM",2008,"m04",1
"GR",2005,"m04",0
"GR",2006,"m04",0
"GR",2007,"m04",0
"GR",2008,"m04",0
"GT",2007,"m04",18
"GT",2008,"m04",0
"GU",2007,"m04",0
"GU",2008,"m04",0
"GY",2008,"m04",2
"HK",2005,"m04",0
"HK",2006,"m04",0
"HK",2007,"m04",1
"HK",2008,"m04",0
"HN",2006,"m04",5
"HN",2007,"m04",5
"HN",2008,"m04",1
"HR",2005,"m04",0
"HR",2006,"m04",0
"HR",2008,"m04",0
"HT",2007,"m04",26
"HT",2008,"m04",8
"HU",2005,"m04",0
"HU",2006,"m04",0
"HU",2007,"m04",0
"HU",2008,"m04",0
"ID",2007,"m04",213
"ID",2008,"m04",161
"IE",2005,"m04",0
"IE",2006,"m04",0
"IE",2007,"m04",0
"IE",2008,"m04",1
"IL",2005,"m04",0
"IL",2006,"m04",0
"IL",2007,"m04",0
"IL",2008,"m04",0
"IQ",2006,"m04",0
"IQ",2007,"m04",0
"IQ",2008,"m04",2
"IR",2006,"m04",4
"IR",2007,"m04",3
"IR",2008,"m04",0
"IS",2005,"m04",0
"IS",2006,"m04",0
"IS",2007,"m04",0
"IS",2008,"m04",0
"IT",2005,"m04",7
"IT",2006,"m04",6
"IT",2007,"m04",1
"IT",2008,"m04",1
"JM",2006,"m04",0
"JM",2007,"m04",0
"JM",2008,"m04",2
"JO",2006,"m04",0
"JO",2007,"m04",0
"JO",2008,"m04",0
"JP",2007,"m04",1
"JP",2008,"m04",0
"KE",2007,"m04",23
"KE",2008,"m04",40
"KG",2005,"m04",0
"KI",2007,"m04",0
"KI",2008,"m04",0
"KM",2006,"m04",1
"KM",2008,"m04",0
"KN",2008,"m04",0
"KP",2008,"m04",11
"KR",2006,"m04",0
"KR",2007,"m04",3
"KR",2008,"m04",3
"KW",2007,"m04",0
"KW",2008,"m04",0
"KY",2006,"m04",0
"KY",2007,"m04",0
"KZ",2005,"m04",0
"KZ",2007,"m04",3
"KZ",2008,"m04",0
"LB",2006,"m04",0
"LB",2007,"m04",0
"LB",2008,"m04",0
"LC",2008,"m04",0
"LR",2008,"m04",3
"LS",2007,"m04",1
"LS",2008,"m04",0
"LT",2005,"m04",0
"LT",2006,"m04",0
"LT",2007,"m04",0
"LT",2008,"m04",0
"LU",2005,"m04",0
"LU",2006,"m04",0
"LU",2007,"m04",0
"LU",2008,"m04",0
"LV",2005,"m04",0
"LV",2006,"m04",0
"LV",2008,"m04",0
"LY",2006,"m04",0
"LY",2008,"m04",1
"MA",2006,"m04",4
"MA",2007,"m04",4
"MA",2008,"m04",5
"MD",2005,"m04",0
"MD",2007,"m04",0
"MD",2008,"m04",0
"ME",2005,"m04",0
"ME",2006,"m04",0
"ME",2007,"m04",0
"ME",2008,"m04",0
"MG",2007,"m04",94
"MG",2008,"m04",21
"MH",2007,"m04",0
"MH",2008,"m04",0
"MK",2005,"m04",0
"MK",2006,"m04",0
"MK",2007,"m04",0
"MK",2008,"m04",0
"ML",2008,"m04",2
"MO",2007,"m04",0
"MO",2008,"m04",0
"MP",2007,"m04",0
"MP",2008,"m04",0
"MT",2005,"m04",0
"MT",2006,"m04",0
"MT",2007,"m04",0
"MT",2008,"m04",0
"MU",2007,"m04",0
"MU",2008,"m04",0
"MV",2006,"m04",0
"MV",2007,"m04",0
"MV",2008,"m04",0
"MW",2007,"m04",0
"MW",2008,"m04",1
"MX",2006,"m04",68
"MX",2007,"m04",61
"MX",2008,"m04",62
"MY",2006,"m04",148
"MY",2007,"m04",79
"MY",2008,"m04",61
"NC",2008,"m04",0
"NE",2008,"m04",5
"NI",2006,"m04",0
"NI",2007,"m04",0
"NL",2005,"m04",0
"NL",2006,"m04",0
"NL",2007,"m04",1
"NL",2008,"m04",0
"NO",2005,"m04",0
"NO",2006,"m04",0
"NO",2008,"m04",0
"NP",2006,"m04",0
"NP",2007,"m04",0
"NR",2006,"m04",0
"NR",2007,"m04",0
"NR",2008,"m04",0
"NU",2006,"m04",0
"NU",2007,"m04",0
"NZ",2006,"m04",0
"NZ",2007,"m04",0
"NZ",2008,"m04",0
"OM",2006,"m04",0
"OM",2008,"m04",0
"PA",2008,"m04",1
"PE",2006,"m04",36
"PE",2007,"m04",10
"PE",2008,"m04",10
"PF",2008,"m04",0
"PL",2005,"m04",2
"PL",2006,"m04",1
"PL",2007,"m04",0
"PL",2008,"m04",3
"PR",2007,"m04",0
"PR",2008,"m04",0
"PS",2006,"m04",0
"PS",2007,"m04",0
"PS",2008,"m04",0
"PT",2005,"m04",3
"PT",2006,"m04",4
"PT",2007,"m04",1
"PT",2008,"m04",1
"PW",2006,"m04",1
"PW",2007,"m04",0
"PY",2006,"m04",6
"PY",2007,"m04",3
"PY",2008,"m04",3
"QA",2007,"m04",0
"QA",2008,"m04",0
"RO",2005,"m04",10
"RO",2006,"m04",9
"RO",2007,"m04",12
"RO",2008,"m04",8
"RS",2005,"m04",0
"RS",2006,"m04",2
"RS",2007,"m04",0
"RS",2008,"m04",0
"RU",2007,"m04",3
"RU",2008,"m04",1
"RW",2007,"m04",7
"RW",2008,"m04",4
"SA",2008,"m04",4
"SB",2007,"m04",0
"SB",2008,"m04",0
"SC",2008,"m04",0
"SD",2006,"m04",0
"SD",2008,"m04",40
"SE",2005,"m04",0
"SE",2006,"m04",0
"SE",2007,"m04",0
"SE",2008,"m04",0
"SG",2006,"m04",1
"SG",2007,"m04",0
"SG",2008,"m04",0
"SI",2005,"m04",0
"SI",2006,"m04",0
"SI",2007,"m04",0
"SI",2008,"m04",0
"SK",2005,"m04",0
"SK",2006,"m04",1
"SK",2007,"m04",0
"SK",2008,"m04",0
"SL",2007,"m04",1
"SL",2008,"m04",3
"SN",2008,"m04",2
